Dataset:              Benthic Taxonomy Information
File Name:            ben_tax.dat
Date Created:         06/08/10
# Variables:          7
# Header Records:     18
# Data Records:       745
Delimiter:            ,
Missing Value Symbol: .

Variables:        TSN            ITIS Taxonomic Serial Number 
                  TSN_NAME       ITIS Taxa Latin Name              
                  PHYLUM         Taxonomic Phylum            
                  CLASS          Taxonomic Class            
                  ORDER          Taxonomic Order            
                  FAMILY         Taxonomic Family           
                  GENUS          Taxonomic Genus             

tsn,PHYLUM,CLASS,ORDER,FAMILY,GENUS,tsn_name,ntsn,STATUS,TAXON_RANK_NAME,old_name,KINGDOM,SPECIES,
66013,Annelida,Polychaeta,Aciculata,Nephtyidae,Nephtys,Nephtys ciliata,66013,A,Species, ,Animalia,ciliata,
66014,Annelida,Polychaeta,Aciculata,Nephtyidae,Nephtys,Nephtys caeca,66014,A,Species, ,Animalia,caeca,
66028,Annelida,Polychaeta,Aciculata,Nephtyidae,Nephtys,Nephtys incisa,66028,A,Species, , ,incisa,
66030,Annelida,Polychaeta,Aciculata,Nephtyidae,Nephtys,Nephtys picta,66030,A,Species, , ,picta,
66052,Annelida,Polychaeta,Aciculata,Nephtyidae,Aglaophamus,Aglaophamus verrilli,66052,A,Species, , ,verrilli,
66074,Annelida,Polychaeta,Aciculata,Sphaerodoridae,Sphaerodoropsis,Sphaerodoropsis minuta,66074,A,Species, ,Animalia,minuta,
66088,Annelida,Polychaeta,Aciculata,Sphaerodoridae,Sphaerodoridium,Sphaerodoridium claparedii,66088,A,Species, , ,claparedii,
66101,Annelida,Polychaeta,Aciculata,Glyceridae, ,Glyceridae,66101,A,Family, , , ,
66102,Annelida,Polychaeta,Aciculata,Glyceridae,Glycera,Glycera,66102,A,Genus, , , ,
66106,Annelida,Polychaeta,Aciculata,Glyceridae,Glycera,Glycera americana,66106,A,Species, , ,americana,
66107,Annelida,Polychaeta,Aciculata,Glyceridae,Glycera,Glycera dibranchiata,66107,A,Species, , ,dibranchiata,
66126,Annelida,Polychaeta,Aciculata,Goniadidae, ,Goniadidae,66126,A,Family, , , ,
66131,Annelida,Polychaeta,Aciculata,Goniadidae,Glycinde,Glycinde armigera,66131,A,Species, ,Animalia,armigera,
66132,Annelida,Polychaeta,Aciculata,Goniadidae,Glycinde,Glycinde solitaria,66132,A,Species, , ,solitaria,
66140,Annelida,Polychaeta,Aciculata,Goniadidae,Goniada,Goniada maculata,66140,A,Species, ,Animalia,maculata,
66148,Annelida,Polychaeta,Aciculata,Goniadidae,Goniadella,Goniadella gracilis,66148,A,Species, , ,gracilis,
66157,Annelida,Polychaeta,Aciculata,Onuphidae, ,Onuphidae,66157,A,Family, , , ,
66164,Annelida,Polychaeta,Aciculata,Onuphidae,Onuphis,Onuphis eremita,66164,A,Species, ,Animalia,eremita,
66180,Annelida,Polychaeta,Aciculata,Onuphidae,Diopatra,Diopatra cuprea,66180,A,Species, , ,cuprea,
66301,Annelida,Polychaeta,Aciculata,Eunicidae,Marphysa,Marphysa sanguinea,66301,A,Species, , ,sanguinea,
66335,Annelida,Polychaeta,Aciculata,Lumbrineridae, ,Lumbrineridae,66335,A,Family, , , ,
66351,Annelida,Polychaeta,Aciculata,Lumbrineridae,Lumbrinereis,Lumbrineris tenuis,66351,A,Species, , ,tenuis,
66365,Annelida,Polychaeta,Aciculata,Lumbrineridae,Lumbrinereis,Lumbrineris ernesti,66365,A,Species, , ,ernesti,
66366,Annelida,Polychaeta,Aciculata,Lumbrineridae,Lumbrinereis,Lumbrineris verrilli,66366,A,Species, , ,verrilli,
66405,Annelida,Polychaeta,Aciculata,Lumbrineridae,Ninoe,Ninoe nigripes,66405,A,Species, , ,nigripes,
