Dataset:              Fish Species List
File Name:            fish_tax.txt
Date Created:         5/26/1999
# Variables:          5
# Header Records:     15
# Data Records:       468
Missing Value Symbol: .

Variables:    TSN          Integrated Taxonomic Information System (ITIS) serial number
              SPECCODE     EMAP Species Code
              GENUS        Genus
              SPECIES      Species
              LATNAME      Latin Name

TSN,SPECCODE,GENUS,SPECIES,LATNAME,
168609,CARAHIPP,CARANX,HIPPOS,CARANX HIPPOS,
168610,CARALATU,CARANX,LATUS,CARANX LATUS,
168612,CARACRYS,CARANX,CRYSOS,CARANX CRYSOS,
168614,CARARUBE,CARANX,RUBER,CARANX RUBER,
168669,CHLORO01,CHLOROSCOMBRUS,SP,CHLOROSCOMBRUS SP,
168670,CHLOCHRY,CHLOROSCOMBRUS,CHRYSURUS,CHLOROSCOMBRUS CHRYSURUS,
168677,SELACRUM,SELAR,CRUMENOPHTHALMUS,SELAR CRUMENOPHTHALMUS,
168679,SELENE01,SELENE,SP,SELENE SP,
168680,SELEVOME,SELENE,VOMER,SELENE VOMER,
168684,SELESETA,SELENE,SETAPINNIS,SELENE SETAPINNIS,
168707,TRACHI01,TRACHINOTUS,SP,TRACHINOTUS SP,
168708,TRACCARO,TRACHINOTUS,CAROLINUS,TRACHINOTUS CAROLINUS,
168709,TRACFALC,TRACHINOTUS,FALCATUS,TRACHINOTUS FALCATUS,
168724,DECAMACA,DECAPTERUS,MACARELLUS,DECAPTERUS MACARELLUS,
168725,DECAPUNC,DECAPTERUS,PUNCTATUS,DECAPTERUS PUNCTATUS,
168739,HEMICA01,HEMICARANX,SP,HEMICARANX SP,
168740,HEMIAMBL,HEMICARANX,AMBLYRHYNCHUS,HEMICARANX AMBLYRHYNCHUS,
168845,LUTJAN02, , ,LUTJANIDAE UNCL,
168846,LUTJAN01,LUTJANUS,SP,LUTJANUS SP,
168848,LUTJGRIS,LUTJANUS,GRISEUS,LUTJANUS GRISEUS,
168853,LUTJCAMP,LUTJANUS,CAMPECHANUS,LUTJANUS CAMPECHANUS,
168860,LUTJSYNA,LUTJANUS,SYNAGRIS,LUTJANUS SYNAGRIS,
168907,OCYUCHRY,OCYURUS,CHRYSURUS,OCYURUS CHRYSURUS,
169013,GERREI01, , ,GERREIDAE UNCL,
169014,EUCINO01,EUCINOSTOMUS,SP,EUCINOSTOMUS SP,
169015,EUCIARGE,EUCINOSTOMUS,ARGENTEUS,EUCINOSTOMUS ARGENTEUS,
169016,EUCIGULA,EUCINOSTOMUS,GULA,EUCINOSTOMUS GULA,
169018,EUCILEFR,EUCINOSTOMUS,LEFROYI,EUCINOSTOMUS LEFROYI,
169055,HAEMUL01, , ,HAEMULIDAE UNCL,
169059,HAEMPLUM,HAEMULON,PLUMIERI,HAEMULON PLUMIERI,
169076,ORTHOP01,ORTHOPRISTIS,SP,ORTHOPRISTIS SP,
169077,ORTHCHRY,ORTHOPRISTIS,CHRYSOPTERA,ORTHOPRISTIS CHRYSOPTERA,
169180,SPARID01, , ,SPARIDAE UNCL,
169181,STENOT01,STENOTOMUS,SP,STENOTOMUS SP,
169182,STENCHRY,STENOTOMUS,CHRYSOPS,STENOTOMUS CHRYSOPS,
169183,STENCAPR,STENOTOMUS,CAPRINUS,STENOTOMUS CAPRINUS,
169186,LAGODO01,LAGODON,SP,LAGODON SP,
169187,LAGORHOM,LAGODON,RHOMBOIDES,LAGODON RHOMBOIDES,
