Dataset:              Benthic Species List
File Name:            ben_tax.txt
Date Created:         5/26/1999
# Variables:          5
# Header Records:     15
# Data Records:       2110
Missing Value Symbol: .

Variables:    TSN          Integrated Taxonomic Information System (ITIS) serial number
              SPECCODE     EMAP Species Code
              GENUS        Genus
              SPECIES      Species
              LATNAME      Latin Name

TSN,SPECCODE,GENUS,SPECIES,LATNAME,
91031,CYCLXXXA,CYCLASPIS,SP.A,CYCLASPIS,
91031,CYCLXXXB,CYCLASPIS,SP.B,CYCLASPIS,
91031,CYCLXXXX,CYCLASPIS,SP.,CYCLASPIS,
91032,CYCLPUST,CYCLASPIS,PUSTULATA,CYCLASPIS PUSTULATA,
91033,CYCLVARI,CYCLASPIS,VARIANS,CYCLASPIS VARIANS,
91040,PSEUMINO,PSEUDOLEPTOCUMA,MINOR,PSEUDOLEPTOCUMA MINOR,
91044,VAUNMINO, , ,VAUNTHOMPSONIA MINOR,
91045,BODOSPEA, , ,BODOTRIA SP. A MORRIS,
91048,SPILWATL,SPILOCUMA,WATLINGI,SPILOCUMA WATLINGI,
91049,SPILSALO,SPILOCUMA,SALOMANI,SPILOCUMA SALOMANI,
91061,TANASPEA, ,SP. A. (WILLIAMS),TANAIDACEA,
91061,TANAIDAC, , ,TANAIDACEA,
91136,PAGULARG, , ,PAGURAPSEUDES LARGOENSIS,
91163,XXXXAPSE, , ,APSEUDIDAE,
91163,XXXAAPSE, , ,APSEUDIDAE GEN.,
91164,APSEXXXA,APSEUDES,SP.A,APSEUDES,
91271,CALOXXXA,CALOZODION,SP.A,CALOZODION,
91298,KALLXXXA,KALLIAPSEUDES,SP.A,KALLIAPSEUDES,
91333,HALMBAHA,HALMYRAPSEUDES,BAHAMENSIS,HALMYRAPSEUDES BAHAMENSIS,
91381,TANAXXXA, ,SP.A,TANAIDAE,
91445,PSEUMORT, , ,PSEUDOTANAIS MORTENSENI,
91573,TANAPSAM,TANAISSUS,PSAMMOPHILUS,TANAISSUS PSAMMOPHILUS,
92026,LEPTXXXA,LEPTOCHELIA,SP.A,LEPTOCHELIA,
92026,LEPTXXXX,LEPTOCHELIA,SP.,LEPTOCHELIA,
92029,LEPTDUBI,LEPTOCHELIA,DUBIA,LEPTOCHELIA DUBIA,
92068,HARGRAPA,HARGERIA,RAPAX,HARGERIA RAPAX,
92120,ISOPODA, , ,ISOPODA,
92144,XXXAANTH, , ,ANTHURIDAE,
92144,ANTHURID, , ,ANTHURIDAE,
92148,CYATXXXX,CYATHURA,SP.,CYATHURA,
92148,CYATHURA,CYATHURA,SPP.,CYATHURA SPP.,
92149,CYATPOLI,CYATHURA,POLITA,CYATHURA POLITA,
92150,CYATBURB,CYATHURA,BURBANCKI,CYATHURA BURBANCKI,
92155,PTILTENU,PTILANTHURA,TENUIS,PTILANTHURA TENUIS,
92157,AMAKMAGN,AMAKUSANTHURA,MAGNIFICA,AMAKUSANTHURA MAGNIFICA,
92162,XENABREV,XENANTHURA,BREVITELSON,XENANTHURA BREVITELSON,
92173,MESAXXXB,MESANTHURA,SP.B,MESANTHURA,
92173,MESAXXXX,MESANTHURA,SP.,MESANTHURA SP.,
92173,MESAXXXC,MESANTHURA,SP.C,MESANTHURA,
92173,MESAXXXA,MESANTHURA,SP.A,MESANTHURA,
92250,EURYPERS, , ,EURYDICE PERSONATA,
92280,POLIPOLI,POLITOLANA,POLITA,POLITOLANA POLITA,
92283,XXXXSPHA, , ,SPHAEROMATIDAE,
92290,PARACAUD,PARACERCEIS,CAUDATA,PARACERCEIS CAUDATA,
92306,EXOSDIMI,EXOSPHAEROMA,DIMINUTUM,EXOSPHAEROMA DIMINUTUM,
92334,ANCIDEPR,ANCINUS,DEPRESSUS,ANCINUS DEPRESSUS,
92339,SPHAQUAD,SPHAEROMA,QUADRIDENTATUM,SPHAEROMA QUADRIDENTATUM,
92348,CASSOVAL,CASSIDINIDEA,OVALIS,CASSIDINIDEA OVALIS,
92409,HARRFAXO,HARRIETA,FAXONI,HARRIETA FAXONI,
92420,SEROMGRA,SEROLIS,MGRAYI,SEROLIS MGRAYI,
92420,SEROMGRA, , ,SEROLIS MGRAYI,
92564,IDOTEIDA, , ,IDOTEIDAE,
92588,IDOTEA,IDOTEA,SPP.,IDOTEA,
92595,IDOTBALT,IDOTEA,BALTHICA,IDOTEA BALTHICA,
92597,IDOTPHOS,IDOTEA,PHOSPHOREA,IDOTEA PHOSPHOREA,
92617,ERICHSON, , ,ERICHSONELLA SPP.,
92618,ERICATTE,ERICHSONELLA,ATTENUATA,ERICHSONELLA ATTENUATA,
92619,ERICFILI,ERICHSONELLA,FILIFORMIS,ERICHSONELLA FILIFORMIS,
92627,EDOTTRIL,EDOTEA,TRILOBA,EDOTEA TRILOBA,
92637,CHIRIDOT,CHIRIDOTEA,SPP.,CHIRIDOTEA,
92638,CHIRALMY,CHIRIDOTEA,ALMYRA,CHIRIDOTEA ALMYRA,
92640,CHIRCOEC, , ,CHIRIDOTEA COECA,
92658,ASELXXXA,ASELLUS,SP.A,ASELLUS,
92666,LIRCXXXA,LIRCEUS,SP.A,LIRCEUS,
92814,JAERMARI,JAERA,MARINA,JAERA MARINA,
92840,CARPHARR, , ,CARPIAS HARRIETAE,
92973,UROMXXXA,UROMUNNA,SP.A,UROMUNNA,
92974,UROMHAYE,UROMUNNA,HAYESI,UROMUNNA HAYESI,
92974,UROMHAYE, , ,UROMUNNA HAYESI,
92976,UROMREYN,UROMUNNA,REYNOLDSI,UROMUNNA REYNOLDSI,
93056,PLEUSPIN, , ,PLEUROGONIUM SPINOSISSMUM,
93059,PLEUINER,PLEUROGONIUM,INERME,PLEUROGONIUM INERME,
93108,XXXXBOPY,UNID., ,BOPYRIDAE,
93170,UROBPROC,UROBOPYRUS,PROCESSAE,UROBOPYRUS PROCESSAE,
93294,AMPHIPOD, , ,AMPHIPODA,
93320,XXXXAMPE, , ,AMPELISCIDAE,
93321,AMPEXXXD,AMPELISCA,SP.D,AMPELISCA,
93321,AMPEXXXA,AMPELISCA,SP.A,AMPELISCA,
93321,AMPEXXXX,AMPELISCA,SP.,AMPELISCA,
93321,AMPELISC,AMPELISCA,SPP.,AMPELISCA SPP.,
93321,AMPEXXXB,AMPELISCA,SP.B,AMPELISCA SP.B,
93321,AMPEXXXC,AMPELISCA,SP.C,AMPELISCA,
93329,AMPEABDI,AMPELISCA,ABDITA,AMPELISCA ABDITA,
93330,AMPEVADO,AMPELISCA,VADORUM,AMPELISCA VADORUM,
93331,AMPEVERR,AMPELISCA,VERRILLI,AMPELISCA VERRILLI,
93332,AMPEAGAS,AMPELISCA,AGASSIZI,AMPELISCA AGASSIZI,
93345,AMPEHOLM,AMPELISCA,HOLMESI,AMPELISCA HOLMESI,
93346,AMPESCHE, , ,AMPELISCA SCHELLENBERGI,
93364,BYBLSERR,BYBLIS,SERRATA,BYBLIS SERRATA,
93382,XXXXAMPH, , ,AMPHILOCHIDAE,
93385,AMPHXXXB,AMPHILOCHUS,SP.B,AMPHILOCHUS SP.B,
93385,AMPHXXXL,AMPHILOCHUS,SP.A,AMPHILOCHUS SP.A,
93388,AMPHCASA,AMPHILOCHUS,CASAHOYA,AMPHILOCHUS CASAHOYA,
93397,GITANOPS,GITANOPSIS,SPP.,GITANOPSIS,
93408,XXXXAMPI,UNID.,AMPITHOIDAE,UNID. AMPITHOIDAE,
93408,AMPITHOI,UNIDENTIFIED, ,AMPITHOIDAE,
93409,AMPITHOE,AMPITHOE,SPP.,AMPITHOE,
93423,AMPILONG,AMPITHOE,LONGIMANA,AMPITHOE LONGIMANA,
93424,AMPIVALI,AMPITHOE,VALIDA,AMPITHOE VALIDA,
93430,CYMACOMP,CYMADUSA,COMPTA,CYMADUSA COMPTA,
93440,AORIDAE, , ,AORIDAE,
93445,BEMLXXXA,BEMLOS,SP.A,BEMLOS SP.A,
93445,BEMLXXXC,BEMLOS,SP.C,BEMLOS SP.C,
93445,BEMLXXXB,BEMLOS,SP.B,BEMLOS SP.B,
93445,BEMLXXXX,BEMLOS,SP.,BEMLOS SP.,
93455,LEMBOS, , ,LEMBOS SPP.,
93455,BEMLXXXD,BEMLOS,SP.D,BEMLOS SP.D,
93455,BEMLXXXE,BEMLOS,SP.E,BEMLOS SP.E,
93458,LEMBSMIT,LEMBOS,SMITHI,LEMBOS SMITHI,
93458,GLOBSMIT,GLOBOSOLEMBOS,SMITHI,GLOBOSOLEMBOS SMITHI,
93459,LEMBWEBS,LEMBOS,WEBSTERI,LEMBOS WEBSTERI,
93464,LEMBUNIF,LEMBOS,UNIFASCIATUS,LEMBOS UNIFASCIATUS,
93476,MICRODEU,MICRODEUTOPUS,SPP.,MICRODEUTOPUS,
93476,MICRXXXQ,PARAMICRODEUTOPUS,SP.,PARAMICRODEUTOPUS SP.,
93477,MICRGRYL,MICRODEUTOPUS,GRYLLOTALPA,MICRODEUTOPUS GRYLLOTALPA,
93478,MICRANOM,MICRODEUTOPUS,ANOMALUS,MICRODEUTOPUS ANOMALUS,
93480,MICRMYER,PARAMICRODEUTOPUS,MYERSI,PARAMICRODEUTOPUS MYERSI,
93485,LEPTOCHE,LEPTOCHEIRUS,SPP.,LEPTOCHEIRUS,
93486,LEPTPLUM,LEPTOCHEIRUS,PLUMULOSUS,LEPTOCHEIRUS PLUMULOSUS,
93487,LEPTPING,LEPTOCHEIRUS,PINGUIS,LEPTOCHEIRUS PINGUIS,
93491,RILDLAMI,RILDARDANUS,LAMINOSA,RILDARDANUS LAMINOSA,
93494,RUDINAGL,RUDILEMBOIDES,NAGLEI,RUDILEMBOIDES NAGLEI,
93508,ARGIHAMA,ARGISSA,HAMATIPES,ARGISSA HAMATIPES,
93508,ARIGHAMA, , ,ARIGISSA HAMATIPES,
93525,ATYLUROC,ATYLUS,UROCARINATUS,ATYLUS UROCARINATUS,
93525,ATYLUROC, , ,ATYLUS UROCARINATUS,
93527,BATECUSP,BATEA,CUSPIDATA,BATEA CUSPIDATA,
93528,BATECATH,BATEA,CATHARINENSIS,BATEA CATHARINENSIS,
93542,CALLLAEV, , ,CALLIOPIUS LAEVIUSCULUS,
93574,COLOJANI,COLOMASTIX,JANICEAE,COLOMASTIX JANICEAE,
93583,COLOHALI,COLOMASTIX,HALICHONDRIAE,COLOMASTIX HALICHONDRIAE,
93585,CERAXXXA,CERAPUS,SP.A,CERAPUS,
93585,CERAXXXC,CERAPUS,SP.C,CERAPUS SP.C,
93585,CERAXXXX,CERAPUS,SP.,CERAPUS,
93587,CERATUBU,CERAPUS,TUBULARIS,CERAPUS TUBULARIS,
93588,CERABENT,CERAPUS,BENTHOPHILUS,CERAPUS BENTHOPHILUS,
93589,COROXXXB,COROPHIUM,SP.B,COROPHIUM SP.B,
93589,COROPHIU,COROPHIUM,SPP.,COROPHIUM SPP.,
93589,COROXXXX,COROPHIUM,SP.,COROPHIUM,
93589,COROXXXA,COROPHIUM,SP.A,COROPHIUM,
93590,COROACHE,COROPHIUM,ACHERUSICUM,COROPHIUM ACHERUSICUM,
93591,COROBONN,COROPHIUM,BONELLII,COROPHIUM BONELLII,
93592,COROCRAS,COROPHIUM,CRASSICORNE,COROPHIUM CRASSICORNE,
93594,COROLACU,COROPHIUM,LACUSTRE,COROPHIUM LACUSTRE,
93595,COROSIMI,COROPHIUM,SIMILE,COROPHIUM SIMILE,
93596,COROTUBE,COROPHIUM,TUBERCULATUM,COROPHIUM TUBERCULATUM,
93600,COROINSI,COROPHIUM,INSIDIOSUM,COROPHIUM INSIDIOSUM,
93602,COROACUT,COROPHIUM,ACUTUM,COROPHIUM ACUTUM,
93603,COROBACO,COROPHIUM,BACONI,COROPHIUM BACONI,
93605,COROLOUI,COROPHIUM,LOUISIANUM,COROPHIUM LOUISIANUM,
93606,COROSEXT,COROPHIUM,SEXTONI,COROPHIUM SEXTONI,
93607,COROELLI,COROPHIUM,ELLISI,COROPHIUM ELLISI,
93611,ERICXXXX,ERICTHONIUS,SP.,ERICTHONIUS,
93611,ERICTHON,ERICTHONIUS,SPP.,ERICTHONIUS SPP.,
93613,ERICBRAS,ERICTHONIUS,BRASILIENSIS,ERICTHONIUS BRASILIENSIS,
93619,ERICFASC,ERICTHONIUS,FASCIATUS,ERICTHONIUS FASCIATUS,
93629,UNCIOLA,UNCIOLA,SPP.,UNCIOLA,
93631,UNCIINER,UNCIOLA,INERMIS,UNCIOLA INERMIS,
93632,UNCIIRRO,UNCIOLA,IRRORATA,UNCIOLA IRRORATA,
93633,UNCISERR,UNCIOLA,SERRATA,UNCIOLA SERRATA,
93635,UNCIDISS,UNCIOLA,DISSIMILIS,UNCIOLA DISSIMILIS,
93640,PSEUOBLI,PSEUDUNCIOLA,OBLIQUUA,PSEUDUNCIOLA OBLIQUUA,
93642,GRANBONN,GRANDIDIERELLA,BONNIEROIDES,GRANDIDIERELLA BONNIEROIDES,
93665,DEXATHEC,DEXAMINE,THEA,DEXAMINE THEA,
93745,GAMMARID, , ,GAMMARIDAE,
93745,XXXXGAMM, , ,GAMMARIDAE,
93746,XXXXMELI, , ,MELITIDAE,
93746,MELITIDA, , ,MELITIDAE,
93757,CERDXXXA,CERADOCUS,SP.A,CERADOCUS,
93761,ELASLEVI,ELASMOPUS,LEVIS,ELASMOPUS LEVIS,
93761,ELASLAEV,ELASMOPUS,LAEVIS,ELASMOPUS LAEVIS,
93763,ELASRAPA, , ,ELASMOPUS RAPAX,
93773,GAMMARUS,GAMMARUS,SPP.,GAMMARUS SPP.,
93773,GAMMXXXX,GAMMARUS,SP.,GAMMARUS,
93779,GAMMDAIB,GAMMARUS,DAIBERI,GAMMARUS DAIBERI,
93780,GAMMFASC,GAMMARUS,FASCIATUS,GAMMARUS FASCIATUS,
93781,GAMMTIGR,GAMMARUS,TIGRINUS,GAMMARUS TIGRINUS,
93783,GAMMMICR,GAMMARUS,MUCRONATUS,GAMMARUS MUCRONATUS,
93783,MUCRMUCR,MUCROGAMMARUS,MUCRONATUS,MUCROGAMMARUS MUCRONATUS,
93785,GAMMANNU,GAMMARUS,ANNULATUS,GAMMARUS ANNULATUS,
93786,GAMMOCEA,GAMMARUS,OCEANICUS,GAMMARUS OCEANICUS,
93794,MAERXXXA,MAERA,SP.A,MAERA,
93801,MAERCARO,MAERA,CAROLINIANA,MAERA CAROLINIANA,
93806,MELIXXXB,MELITA,SP.B,MELITA,
93806,MELIXXXX,MELITA,SP.,MELITA,
93812,MELINITI,MELITA,NITIDA,MELITA NITIDA,
93820,MELIELON, , ,MELITA ELONGATA,
93821,MELILONG,MELITA,LONGISETOSA,MELITA LONGISETOSA,
93835,CASCBIGE, , ,CASCO BIGELOWI,
93848,DULIAPPE,DULICHIELLA,APPENDICULATA,DULICHIELLA APPENDICULATA,
93959,HAUSTIDA,UNIDENTIFIED, ,HAUSTORIIDAE,
93959,XXXXHAUS,UNID., ,HAUSTORIIDAE,
93980,ACANTHOH,ACANTHOHAUSTORIUS,SPP.,ACANTHOHAUSTORIUS SPP.,
93980,ACANXXXB,ACANTHOHAUSTORIUS,SP.B,ACANTHOHAUSTORIUS,
93980,ACANXXXA,ACANTHOHAUSTORIUS,SP.A,ACANTHOHAUSTORIUS,
93982,ACANMILL,ACANTHOHAUSTORIUS,MILLSI,ACANTHOHAUSTORIUS MILLSI,
93985,ACANSIMI,ACANTHOHAUSTORIUS,SIMILIS,ACANTHOHAUSTORIUS SIMILIS,
93990,BATHPARK,BATHYPOREIA,PARKERI,BATHYPOREIA PARKERI,
93997,LEPIXXXA,LEPIDACTYLUS,SP.A,LEPIDACTYLUS,
93998,LEPIDYTI,LEPIDACTYLUS,DYTISCUS,LEPIDACTYLUS DYTISCUS,
94003,PARAHAUS, , ,PARAHAUSTORIUS SPP.,
94004,PARAATTE,PARAHAUSTORIUS,ATTENUATUS,PARAHAUSTORIUS ATTENUATUS,
94005,PARAHOLM,PARAHAUSTORIUS,HOLMESI,PARAHAUSTORIUS HOLMESI,
94006,PARALNGI,PARAHAUSTORIUS,LONGIMERUS,PARAHAUSTORIUS LONGIMERUS,
94006,PARALONG,PARAHAUSTORIUS,LONGIMERUS,PARAHAUSTORIUS LONGIMERUS,
94008,PROTOHAU,PROTOHAUSTORIUS,SPP.,PROTOHAUSTORIUS,
94009,PROTDEIC, , ,PROTOHAUSTORIUS CF. DEICHMANNAE,
94010,PROTWIGL, , ,PROTOHAUSTORIUS WIGLEYI,
94011,PROTBOUS,PROTOHAUSTORIUS,BOUSFIELDI,PROTOHAUSTORIUS BOUSFIELDI,
94013,PSEUXXXA,PSEUDOHAUSTORIUS,SP.A,PSEUDOHAUSTORIUS,
94013,PSEUHAUS,PSEUDOHAUSTORIUS,SPP.,PSEUDOHAUSTORIUS SPP.,
94014,PSEUBORE, , ,PSEUDOHAUSTORIUS BOREALIS,
94015,PSEUCARO,PSEUDOHAUSTORIUS,CAROLINIENSIS,PSEUDOHAUSTORIUS CAROLINIENSIS,
94026,HYALAZTE,HYALELLA,AZTECA,HYALELLA AZTECA,
94037,HYALXXXX,HYALE,SP.,HYALE,
94061,PHOTXXXX,PHOTIS,SP.,PHOTIS,
94061,PHOTIS,PHOTIS,SPP.,PHOTIS SPP.,
94061,PHOTXXXC,PHOTIS,SP.C,PHOTIS,
94068,PHOTDENT,PHOTIS,DENTATA,PHOTIS DENTATA,
94073,PHOTMACR,PHOTIS,MACROMANUS,PHOTIS MACROMANUS,
94075,PHOTMELA,PHOTIS,MELANICUS,PHOTIS MELANICUS,
94077,PHOTPUGN,PHOTIS,PUGNATOR,PHOTIS PUGNATOR,
94078,PHOTPOLL, , ,PHOTIS POLLEX,
94122,MICRRANE,MICROPROTOPUS,RANEYI,MICROPROTOPUS RANEYI,
94153,ISCHANGU,ISCHYROCERUS,ANGUIPES,ISCHYROCERUS ANGUIPES,
94172,JASSMARM,JASSA,MARMORATA,JASSA MARMORATA,
94205,LILJEBOR,UNIDENTIFIED, ,LILJEBORGIIDAE,
94212,LISTRIEL,LISTRIELLA,SPP.,LISTRIELLA SPP.,
94212,LISTXXXA,LISTRIELLA,SP.A,LISTRIELLA SP.A,
94212,LISTXXXX,LISTRIELLA,SP.,LISTRIELLA,
94213,LISTBARN,LISTRIELLA,BARNARDI,LISTRIELLA BARNARDI,
94214,LISTCLYM,LISTRIELLA,CLYMENELLAE,LISTRIELLA CLYMENELLAE,
94215,LISTBAHI,LISTRIELLA,BAHIA,LISTRIELLA BAHIA,
94224,LYSIXXAA, ,SP.A,LYSIANASSIDAE,
94224,LYSIADAE, , ,LYSIANASSIDAE,
94233,ANONLILJ, , ,ANONYX LILJEBORGI,
94301,HIPPSERR,HIPPOMEDON,SERRATUS,HIPPOMEDON SERRATUS,
94457,ORCHOMEN,ORCHOMENELLA,SPP.,ORCHOMENELLA,
94458,ORCHMINU,ORCHOMENELLA,MINUTA,ORCHOMENELLA MINUTA,
94462,LYSIXXXX,LYSIANOPSIS,SP.,LYSIANOPSIS,
94462,LYSIXXXA,LYSIANOPSIS,SP.A,LYSIANOPSIS,
94466,LYSIALBA,LYSIANOPSIS,ALBA,LYSIANOPSIS ALBA,
94519,MONOXXXB,MONOCULODES,SP.B,MONOCULODES SP.B,
94519,MONOSPE1,MONOCULODES,SP. 1 WATLING,MONOCULODES SP. 1 WATLING,
94519,MONOXXXA,MONOCULODES,SP.A,MONOCULODES,
94519,MONOCULO,MONOCULODES,SPP.,MONOCULODES,
94543,MONONYEI,MONOCULODES,NYEI,MONOCULODES NYEI,
94567,SYNCAMER,SYNCHELIDIUM,AMERICANUM,SYNCHELIDIUM AMERICANUM,
94633,PHOXOCEP,UNIDENTIFIED, ,PHOXOCEPHALIDAE,
94650,HARPPROP,HARPINIA,PROPINQUA,HARPINIA PROPINQUA,
94677,PHOXHOLB,PHOXOCEPHALUS,HOLBOLLI,PHOXOCEPHALUS HOLBOLLI,
94724,METHFLOR,METHARPINIA,FLORIDANA,METHARPINIA FLORIDANA,
94727,RHEPOXYN, , ,RHEPOXYNIUS SPP.,
94728,RHEPEPIS,RHEPOXYNIUS,EPISTOMUS,RHEPOXYNIUS EPISTOMUS,
94730,RHEPHUDS,RHEPOXYNIUS,HUDSONI,RHEPOXYNIUS HUDSONI,
94755,EOBRSPIN,EOBROLGUS,SPINOSUS,EOBROLGUS SPINOSUS,
94764,EUDEHOND,EUDEVENOPUS,HONDURANUS,EUDEVENOPUS HONDURANUS,
94797,PLEUGLAB,PLEUSYMTES,GLABER,PLEUSYMTES GLABER,
94809,STENGRAC,STENOPLEUSTES,GRACILIS,STENOPLEUSTES GRACILIS,
94811,STENINER, , ,STENOPLEUSTES INERMIS,
94820,PODOCERI, , ,PODOCERIDAE,
94925,PARAXXXC,PARAMETOPELLA,SP.A,PARAMETOPELLA,
94927,PARACYPR,PARAMETOPELLA,CYPRIS,PARAMETOPELLA CYPRIS,
94934,STENOTHO,STENOTHOE,SPP.,STENOTHOE,
94936,STENMINU, , ,STENOTHOE MINUTA,
95023,TIROTROP,TIRON,TROPAKIS,TIRON TROPAKIS,
95024,TIROTRIO,TIRON,TRIOCELLATUS,TIRON TRIOCELLATUS,
95029,SYNOULTR, , ,SYNOPIA ULTRAMARINA,
95076,PROTSCHO, , ,PROTOHADZIA SCHOENERAE,
95081,CRANXXXX,CRANGONYX,SP.,CRANGONYX SP.,
95375,XXXXCAPR, , ,CAPRELLIDAE,
95375,CAPRELLI, , ,CAPRELLIDAE,
95379,DEUTINCE,DEUTELLA,INCERTA,DEUTELLA INCERTA,
95392,CAPRELLA,CAPRELLA,SPP.,CAPRELLA,
95419,CAPRPENA,CAPRELLA,PENANTIS,CAPRELLA PENANTIS,
95423,CAPRANDR,CAPRELLA,ANDREAE,CAPRELLA ANDREAE,
95432,AEGILONG,AEGININA,LONGICORNIS,AEGININA LONGICORNIS,
95433,PARAXXXX,PARACAPRELLA,SP.,PARACAPRELLA,
95434,PARATENU,PARACAPRELLA,TENUIS,PARACAPRELLA TENUIS,
95435,PARAPUSI,PARACAPRELLA,PUSILLA,PARACAPRELLA PUSILLA,
95440,LUCOINCE,LUCONACIA,INCERTA,LUCONACIA INCERTA,
95446,FALLBISC, , ,FALLOTRITELLA BISCAYNENSIS,
95473,HEMIWIGL, , ,HEMIPROTO WIGLEYI,
95599,XXXXCARI,UNID., ,CARIDEA,
95599,DECAPODA, , ,DECAPODA,
95599,XXXXDECA, ,DECAPODA,DECAPODA,
95602,PENAEIDA, , ,PENAEIDAE,
95602,XXXXPENA, , ,PENAEIDAE,
95603,PENAXXXX,PENAEUS,SP.,PENAEUS,
95647,TRACXXXX,TRACHYPENAEUS,SP.,TRACHYPENAEUS,
95648,TRACCONS,TRACHYPENAEUS,CONSTRICTUS,TRACHYPENAEUS CONSTRICTUS,
95750,XIPHKROY, , ,XIPHOPENAEUS KROYERI,
95916,LUCIFAXO,LUCIFER,FAXONI,LUCIFER FAXONI,
96027,SICYXXXX,SICYONIA,SP.,SICYONIA,
96105,XXXXTHAL,UNID.,THALASSINIDEA,UNID. THALASSINIDEA,
96106,CARIDEA,UNIDENTIFIED, ,CARIDEA,
96178,LEPTSERR,LEPTOCHELA,SERRATORBITA,LEPTOCHELA SERRATORBITA,
96213,XXXXPALA,UNID.,PALAEMONIDAE,UNID. PALAEMONIDAE,
96221,MACROHIO, , ,MACROBRACHIUM OHIONE,
96221,MACROHIO,MACROBRACHIUM,OHIONE,MACROBRACHIUM OHIONE,
96384,PALAINTE, , ,PALAEMONETES INTERMEDIU,
96390,PALAPUGI,PALAEMONETES,PUGIO,PALAEMONETES PUGIO,
96391,PALEVULG, , ,PALAEMONETES VULGARIS,
96415,PERIAMER,PERICLIMENES,AMERICANUS,PERICLIMENES AMERICANUS,
96417,PERILONG,PERICLIMENES,LONGICAUDATUS,PERICLIMENES LONGICAUDATUS,
96600,XXXXALPH, , ,ALPHEIDAE,
96601,ALPHXXXX,ALPHEUS,SP.,ALPHEUS,
96601,ALPHXXXA,ALPHEUS,SP.A,ALPHEUS,
96602,ALPHHETE,ALPHEUS,HETEROCHAELIS,ALPHEUS HETEROCHAELIS,
96606,ALPHNORM,ALPHEUS,NORMANNI,ALPHEUS NORMANNI,
96628,ALPHESTU,ALPHEUS,ESTUARENSIS,ALPHEUS ESTUARENSIS,
96678,AUTOXXXA,AUTOMATE,SP.A,AUTOMATE,
96678,AUTOXXXX,AUTOMATE,SP.,AUTOMATE,
96678,AUTOMSPA, , ,AUTOMATE SP. A WILLIAMS,
96736,OGYRXXXX,OGYRIDES,SP.,OGYRIDES,
96737,OGYRALPH,OGYRIDES,ALPHAEROSTRIS,OGYRIDES ALPHAEROSTRIS,
96740,OGYRHAYI,OGYRIDES,HAYI,OGYRIDES HAYI,
96746,HIPPOLYT, , ,HIPPOLYTIDAE,
96747,HIPPXXXX,HIPPOLYTE,SP.,HIPPOLYTE SP.,
96751,HIPPZOST, , ,HIPPOLYTE ZOSTERICOLA,
96751,HIPPZOST,HIPPOLYTE,ZOSTERICOLA,HIPPOLYTE ZOSTERICOLA,
96870,LATRFUCO,LATREUTES,FUCORUM,LATREUTES FUCORUM,
96871,LATRPARV,LATREUTES,PARVULUS,LATREUTES PARVULUS,
96912,TOZECARO,TOZEUMA,CAROLINENSE,TOZEUMA CAROLINENSE,
96917,THORXXXX,THOR,SP.,THOR SP.,
96921,THORDOBK, , ,THOR DOBKINI,
96942,PROCXXXA,PROCESSA,SP.,PROCESSA,
96943,PROCHEMP,PROCESSA,HEMPHILLI,PROCESSA HEMPHILLI,
96944,PROCBERM,PROCESSA,BERMUDENSIS,PROCESSA BERMUDENSIS,
96945,PROCVICI,PROCESSA,VICINA,PROCESSA VICINA,
96963,AMBISYMM,AMBIDEXTER,SYMMETRICUS,AMBIDEXTER SYMMETRICUS,
97110,CRANSEPT,CRANGON,SEPTEMSPINOSA,CRANGON SEPTEMSPINOSA,
97314,HOMAAMER,HOMARUS,AMERICANUS,HOMARUS AMERICANUS,
97698,XXXXANOM,UNID.,ANOMURA,ANOMURA,
97698,XXXXANOM, , ,ANOMURA,
97732,XXXXCALL, , ,CALLIANASSIDAE,
97733,BIFFXXXX,BIFFARIUS,SP.,BIFFARIUS SP.,
97744,BIFFBIFO,BIFFARIUS,BIFORMIS,BIFFARIUS BIFORMIS,
97760,CALLSETI,CALLIANASSA,SETIMANUS,CALLIANASSA SETIMANUS,
97774,XXXBPAGU,UNID., ,PAGURIDAE,
97774,PAGURIDA, , ,PAGURIDAE,
97775,PAGURUS, , ,PAGURUS SPP.,
97775,PAGUXXXX,PAGURUS,SP.,PAGURUS,
97803,PAGUACAD,PAGURUS,ACADIANUS,PAGURUS ACADIANUS,
97804,PAGUANNU,PAGURUS,ANNULIPES,PAGURUS ANNULIPES,
97807,PAGULONG,PAGURUS,LONGICARPUS,PAGURUS LONGICARPUS,
97809,PAGUPOLL,PAGURUS,POLLICARIS,PAGURUS POLLICARIS,
97823,PAGUSTIM, , ,PAGURUS STIMPSONI,
97824,PAGUGYMN,PAGURUS,GYMNODACTYLUS,PAGURUS GYMNODACTYLUS,
97828,PAGUMACL,PAGURUS,MACLAUGHLINAE,PAGURUS MACLAUGHLINAE,
97829,PAGUCRIN,PAGURUS,CRINITICORNIS,PAGURUS CRINITICORNIS,
98058,XXXXPORC,UNID.,PORCELLANIDAE,UNID. PORCELLANIDAE,
98062,PETRARMA,PETROLISTHES,ARMATUS,PETROLISTHES ARMATUS,
98081,EUCEPRAE,EUCERAMUS,PRAELONGUS,EUCERAMUS PRAELONGUS,
98083,POLYGIBB,POLYONYX,GIBBESI,POLYONYX GIBBESI,
98102,XXXXALBU, , ,ALBUNEIDAE,
98122,ALBUPARE,ALBUNEA,PARETII,ALBUNEA PARETII,
98137,EMERBENE,EMERITA,BENEDICTI,EMERITA BENEDICTI,
98153,XXXXDIOG, , ,DIOGENIDAE,
