Dataset:              Demersal Lengths - Summary by Station and Taxon
File Name:            CP_DEM_L.txt
Date Created:         02Dec1998
# Variables:          7
# Header Records:     17
# Data Records:       1682
Missing Value Symbol: .

Variables:    STA_NAME     Carolinian Province Office Station Name
              DATE         Sample collection date (YYMMDD)
              COD_EMAP     Carolinian Province Office Taxa Code
              N_LEN        Number of lengths
              M_LEN        Mean length (mm)
              SD_LEN       Standard deviation of lengths
              MEASTYPE     Length measurement type code

STA_NAME;DATE;COD_EMAP;N_LEN;M_LEN;SD_LEN;MEASTYPE
CP94028;940726;MICRUNDU;1;264.0;.;T
CP94028;940726;MYCTMICR;1;125.0;.;T
CP94028;940726;ORTHCHRY;1;192.0;.;F
CP94028;940726;POGOCROM;1;307.0;.;T
CP94029;940725;CHAEFABE;3;137.3;4.0;F
CP94029;940725;ETROCROS;4;83.0;2.4;T
CP94029;940725;GYMNALTA;1;423.0;.;D
CP94029;940725;LAGORHOM;29;134.7;18.3;F
CP94029;940725;MONAHISP;5;84.4;7.7;T
CP94029;940725;PARADENT;1;274.0;.;T
CP94029;940725;PENAAZTE;1;120.0;.;S
CP94029;940725;PRIOCARO;1;138.0;.;F
CP94029;940725;STENCAPR;36;115.6;9.4;F
CP94030;940719;BAIRCHRY;2;189.0;8.5;T
CP94030;940719;CALLSAPI;15;84.3;30.2;C
CP94030;940719;CALLSIMI;1;42.0;.;C
CP94030;940719;DASYSABI;1;355.0;.;D
CP94030;940719;ETROCROS;4;81.5;7.9;T
CP94030;940719;EUCIARGE;1;40.0;.;F
CP94030;940719;LAGORHOM;80;99.2;25.1;F
CP94030;940719;LEIOXANT;5;118.0;16.4;F
CP94030;940719;MICRUNDU;41;135.0;8.0;F
CP94030;940719;MONAHISP;1;105.0;.;C
CP94030;940719;ORTHCHRY;2;185.5;16.3;F
CP94030;940719;PENAAZTE;65;121.0;14.3;S
CP94030;940719;SCOMMACU;1;136.0;.;F
CP94030;940719;SELEVOME;5;98.6;36.6;T
CP94030;940719;SYNOFOET;3;212.3;11.0;T
CP94031;940701;CALLSAPI;12;113.3;37.6;C
CP94031;940701;CALLSIMI;6;62.2;13.4;C
CP94031;940701;LAGORHOM;24;132.3;15.7;F
CP94031;940701;PARADENT;1;208.0;.;T
CP94031;940701;PENAAZTE;4;119.3;7.8;S
CP94031;940701;PRIOTRIB;1;104.0;.;T
CP94031;940701;SELEVOME;2;152.0;114.6;F
CP94032;940727;ANCHHEPS;1;50.0;.;F
CP94032;940727;CALLSAPI;47;95.1;24.3;C
CP94032;940727;CALLSIMI;1;42.0;.;C
CP94032;940727;ILLEILLE;2;63.5;0.7;M
CP94032;940727;LAGORHOM;80;95.1;22.2;F
CP94032;940727;LEIOXANT;12;104.8;25.3;F
CP94032;940727;MICRUNDU;19;137.8;23.9;T
CP94032;940727;MONAHISP;35;80.9;9.4;T
CP94032;940727;ORTHCHRY;5;156.8;33.9;F
CP94032;940727;PENAAZTE;1;145.0;.;S
CP94033;940727;CALLSAPI;5;113.2;29.8;C
CP94033;940727;CALLSIMI;2;48.0;8.5;C
CP94033;940727;LAGORHOM;46;137.0;25.9;F
CP94033;940727;LEIOXANT;8;117.0;20.2;F
CP94033;940727;MICRUNDU;2;150.0;35.4;T
CP94033;940727;MONAHISP;1;90.0;.;T
CP94033;940727;OPISOGLI;1;62.0;.;F
CP94033;940727;SCOMMACU;1;184.0;.;F
CP94034;940706;CALLSAPI;3;111.7;56.1;C
CP94034;940706;LEIOXANT;13;94.2;14.5;F
CP94034;940706;MICRUNDU;13;99.4;27.8;T
CP94034;940706;PENAAZTE;2;109.5;30.4;S
CP94034;940706;PEPRTRIA;1;81.0;.;F
CP94034;940706;SELEVOME;1;52.0;.;F
CP94035;940706;ANCHMITC;1;44.0;.;F
CP94035;940706;CALLSAPI;15;91.2;38.4;C
CP94035;940706;LEIOXANT;6;90.2;10.2;F
CP94035;940706;MICRUNDU;8;128.5;18.7;T
CP94035;940706;PENAAZTE;3;117.0;1.0;S
CP94035;940706;PEPRTRIA;3;84.0;14.7;F
CP94036;940822;ANCHMITC;1;50.0;.;F
CP94036;940822;CALLSAPI;1;52.0;.;C
CP94036;940822;CYNOREGA;2;169.5;37.5;T
CP94036;940822;LEIOXANT;80;102.1;6.7;T
CP94036;940822;MICRUNDU;27;124.1;23.6;T
CP94036;940822;PARADENT;1;191.0;.;T
CP94036;940822;PARALETH;3;158.7;16.1;T
CP94036;940822;PENAAZTE;5;122.4;13.3;S
CP94036;940822;PEPRALEP;44;55.6;7.8;F
CP94036;940822;SYMPPLAG;1;122.0;.;T
CP94037;940810;CALLSAPI;1;40.0;.;C
CP94037;940810;CHAEFABE;1;332.0;.;T
CP94037;940810;LAGORHOM;5;162.0;8.3;F
CP94037;940810;LEIOXANT;2;182.5;9.2;F
CP94037;940810;MICRUNDU;2;156.0;8.5;T
CP94037;940810;ORTHCHRY;2;124.0;5.7;F
CP94037;940810;PRIOEVOL;1;142.0;.;T
CP94037;940810;SYNOFOET;1;180.0;.;F
CP94038;940707;ANCHMITC;1;55.0;.;F
CP94038;940707;CALLSAPI;68;97.5;31.0;C
CP94038;940707;LAGORHOM;43;94.6;21.6;F
CP94038;940707;LEIOXANT;25;103.0;15.7;F
CP94038;940707;MICRUNDU;20;127.8;11.8;T
CP94038;940707;PENAAZTE;80;112.3;12.5;S
CP94038;940707;TRINMACU;1;82.0;.;T
CP94039;940809;ALUTSCRI;1;160.0;.;T
CP94039;940809;CALLSAPI;1;156.0;.;C
CP94039;940809;ETROCROS;2;82.5;13.4;T
CP94039;940809;PARADENT;4;184.8;7.7;T
CP94039;940809;PRIOEVOL;2;141.0;4.2;T
CP94039;940809;SPHOMACU;1;191.0;.;T
CP94040;940823;CALLSIMI;3;43.0;1.7;C
CP94040;940823;ILLEILLE;5;99.0;62.8;M
CP94040;940823;LEIOXANT;1;111.0;.;T
CP94040;940823;MICRUNDU;11;143.7;18.0;T
CP94040;940823;PARALETH;2;211.5;77.1;T
CP94040;940823;PENAAZTE;3;103.3;10.4;S
CP94040;940823;SYNOFOET;2;228.5;9.2;F
CP94041;940810;CALLSAPI;3;100.0;45.1;C
CP94041;940810;LEIOXANT;7;104.7;7.1;F
CP94041;940810;MICRUNDU;3;153.0;32.5;T
CP94041;940810;MONAHISP;1;119.0;.;T
CP94041;940810;PEPRALEP;2;62.5;14.8;F
CP94042;940810;ARCHPROB;1;392.0;.;F
CP94042;940810;CHILSCHO;2;161.5;6.4;F
CP94042;940810;ORTHCHRY;4;115.0;7.4;F
CP94043;940823;BAIRCHRY;5;108.4;9.7;T
CP94043;940823;CALLSAPI;15;83.6;37.8;C
CP94043;940823;CYNOREGA;72;148.5;25.2;T
CP94043;940823;LAGORHOM;32;112.8;8.4;F
CP94043;940823;LEIOXANT;80;111.1;20.1;F
CP94043;940823;MICRUNDU;80;131.3;12.9;T
CP94043;940823;MUGICEPH;1;154.0;.;F
CP94043;940823;PARADENT;1;223.0;.;T
CP94043;940823;PARALETH;67;131.9;35.0;T
CP94043;940823;PENAAZTE;53;138.4;12.5;S
CP94043;940823;PENASETI;2;116.0;14.1;S
CP94043;940823;PEPRALEP;41;59.5;7.1;F
CP94043;940823;SYNOFOET;1;197.0;.;F
CP94044;940808;LAGORHOM;7;112.4;17.6;F
CP94044;940808;LEIOXANT;11;132.1;23.3;T
CP94044;940808;MONAHISP;1;75.0;.;T
CP94044;940808;ORTHCHRY;5;115.2;13.0;F
CP94044;940808;PARADENT;1;136.0;.;T
CP94044;940808;PRIOSCIT;1;119.0;.;T
CP94045;940808;CALLSAPI;10;98.5;31.5;C
CP94045;940808;EUCIARGE;1;62.0;.;F
CP94045;940808;FISTTABA;1;300.0;.;F
CP94045;940808;LAGORHOM;80;101.8;17.2;F
CP94045;940808;LEIOXANT;63;108.8;16.9;F
CP94045;940808;MONAHISP;2;76.5;3.5;F
CP94045;940808;ORTHCHRY;9;109.9;14.5;F
CP94045;940808;PARADENT;1;147.0;.;F
CP94045;940808;PENAAZTE;3;79.0;18.5;S
CP94045;940808;SPHOMACU;1;187.0;.;F
CP94046;940816;ANCHMITC;1;56.0;.;F
CP94046;940816;BAIRCHRY;10;162.4;19.4;T
CP94046;940816;CALLSAPI;4;133.3;49.5;C
CP94046;940816;CHAEFABE;2;68.0;1.4;T
CP94046;940816;CYNOREGA;9;152.2;12.0;T
CP94046;940816;LAGORHOM;2;89.0;4.2;T
CP94046;940816;LEIOXANT;33;114.4;16.0;F
CP94046;940816;MICRUNDU;80;141.8;20.0;T
CP94046;940816;PARADENT;4;206.0;18.8;T
CP94046;940816;PENASETI;2;101.5;21.9;S
CP94046;940816;PEPRALEP;14;58.6;8.0;F
CP94046;940816;POMASALT;1;149.0;.;F
CP94046;940816;TRINMACU;3;134.7;24.0;T
CP94047;940817;CALLSAPI;6;124.3;20.8;C
CP94047;940817;LEIOXANT;56;112.3;18.1;F
CP94047;940817;MICRUNDU;43;128.1;9.1;T
CP94047;940817;MUGICEPH;2;145.5;3.5;F
CP94047;940817;PEPRALEP;67;60.6;14.7;F
CP94048;940818;CALLSAPI;9;98.4;30.7;C
CP94048;940818;CYNOREGA;66;152.7;13.8;T
CP94048;940818;LAGORHOM;1;112.0;.;F
CP94048;940818;LEIOXANT;80;112.9;16.3;F
CP94048;940818;MICRUNDU;80;130.9;11.1;T
CP94048;940818;PARALETH;53;130.1;24.7;T
CP94048;940818;PENAAZTE;12;137.5;17.6;S
CP94048;940818;PEPRALEP;11;64.9;30.8;F
CP94049;940817;CALLSAPI;19;110.9;30.2;C
CP94049;940817;CYNOREGA;11;167.6;32.9;T
CP94049;940817;ETROCROS;1;113.0;.;T
CP94049;940817;LAGORHOM;2;110.0;0.0;F
CP94049;940817;LEIOXANT;53;111.6;10.6;F
CP94049;940817;MICRUNDU;80;140.7;14.3;T
CP94049;940817;PARADENT;2;198.0;1.4;T
CP94049;940817;PENAAZTE;51;126.9;19.0;S
CP94049;940817;PENASETI;5;111.0;26.1;S
CP94049;940817;SYNOFOET;2;214.5;0.7;F
CP94049;940817;TRINMACU;4;129.5;10.9;T
CP94050;940816;ANCHMITC;1;40.0;.;F
CP94050;940816;CALLSAPI;6;96.8;32.2;C
CP94050;940816;CALLSIMI;3;53.0;15.9;C
CP94050;940816;CYNOREGA;22;145.8;21.3;T
CP94050;940816;LEIOXANT;5;118.4;12.3;F
CP94050;940816;MICRUNDU;24;132.9;21.2;F
CP94050;940816;MONAHISP;2;86.5;7.8;T
CP94050;940816;PENAAZTE;1;125.0;.;S
CP94050;940816;PEPRALEP;22;56.3;11.0;T
CP94050;940816;SYMPPLAG;1;105.0;.;T
CP94051;940817;BREVTYRA;2;163.5;2.1;F
CP94051;940817;PEPRALEP;5;52.0;8.9;F
CP94052;940817; ;0;.;.; 
